file,timestamp,view,background,threshold,n_det,omega_count,omega_score,flags,note
cap_000255,2026-09-11T15:04:30.830,horizontal,,,0,9,0.9442,YOLO-omega,
cap_000256,2026-09-11T15:04:30.960,horizontal,,,0,7,0.9477,YOLO-omega,
cap_000257,2026-09-11T15:04:31.055,horizontal,,,0,10,0.9510,YOLO-omega,
cap_000258,2026-09-11T15:04:31.176,horizontal,,,0,9,0.9485,YOLO-omega,
cap_000259,2026-09-11T15:04:31.273,horizontal,,,0,8,0.9402,YOLO-omega,
cap_000260,2026-09-11T15:04:31.398,horizontal,,,0,8,0.9337,YOLO-omega,
cap_000261,2026-09-11T15:04:31.527,horizontal,,,0,9,0.9381,YOLO-omega,
cap_000262,2026-09-11T15:04:31.645,horizontal,,,0,8,0.9388,YOLO-omega,
cap_000263,2026-09-11T15:04:31.752,horizontal,,,0,8,0.9419,YOLO-omega,
cap_000264,2026-09-11T15:04:31.850,horizontal,,,0,9,0.9463,YOLO-omega,
cap_000265,2026-09-11T15:04:31.977,horizontal,,,0,9,0.9398,YOLO-omega,
cap_000266,2026-09-11T15:04:32.076,horizontal,,,0,8,0.9318,YOLO-omega,
cap_000267,2026-09-11T15:04:32.218,horizontal,,,0,9,0.9220,YOLO-omega,
cap_000268,2026-09-11T15:04:32.331,horizontal,,,0,9,0.9178,YOLO-omega,
cap_000269,2026-09-11T15:04:32.441,horizontal,,,0,9,0.9307,YOLO-omega,
cap_000270,2026-09-11T15:04:32.552,horizontal,,,0,11,0.9319,YOLO-omega,
cap_000271,2026-09-11T15:04:32.647,horizontal,,,0,10,0.9400,YOLO-omega,
cap_000272,2026-09-11T15:04:32.773,horizontal,,,0,10,0.9437,YOLO-omega,
cap_000273,2026-09-11T15:04:32.869,horizontal,,,0,11,0.9406,YOLO-omega,
cap_000274,2026-09-11T15:04:33.000,horizontal,,,0,10,0.9339,YOLO-omega,
cap_000275,2026-09-11T15:04:33.094,horizontal,,,0,10,0.9577,YOLO-omega,
cap_000276,2026-09-11T15:04:33.227,horizontal,,,0,10,0.9476,YOLO-omega,
cap_000277,2026-09-11T15:04:33.351,horizontal,,,0,10,0.9423,YOLO-omega,
cap_000278,2026-09-11T15:04:33.445,horizontal,,,0,10,0.9359,YOLO-omega,
cap_000279,2026-09-11T15:04:33.578,horizontal,,,0,9,0.9395,YOLO-omega,
cap_000280,2026-09-11T15:04:33.681,horizontal,,,0,9,0.9371,YOLO-omega,
cap_000281,2026-09-11T15:04:33.802,horizontal,,,0,9,0.9345,YOLO-omega,
cap_000282,2026-09-11T15:04:33.895,horizontal,,,0,9,0.9295,YOLO-omega,
cap_000283,2026-09-11T15:04:34.020,horizontal,,,0,8,0.9318,YOLO-omega,
cap_000284,2026-09-11T15:04:34.158,horizontal,,,0,8,0.9279,YOLO-omega,
cap_000285,2026-09-11T15:04:34.253,horizontal,,,0,8,0.9268,YOLO-omega,
cap_000286,2026-09-11T15:04:34.380,horizontal,,,0,8,0.9251,YOLO-omega,
cap_000287,2026-09-11T15:04:34.473,horizontal,,,0,9,0.9214,YOLO-omega,
cap_000288,2026-09-11T15:04:34.606,horizontal,,,0,9,0.9218,YOLO-omega,
cap_000289,2026-09-11T15:04:34.699,horizontal,,,0,9,0.9183,YOLO-omega,
cap_000290,2026-09-11T15:04:34.831,horizontal,,,0,9,0.9164,YOLO-omega,
cap_000291,2026-09-11T15:04:34.922,horizontal,,,0,9,0.9163,YOLO-omega,
cap_000292,2026-09-11T15:04:35.046,horizontal,,,0,10,0.9343,YOLO-omega,
cap_000293,2026-09-11T15:04:35.180,horizontal,,,0,8,0.9119,YOLO-omega,
cap_000294,2026-09-11T15:04:35.272,horizontal,,,0,9,0.9167,YOLO-omega,
cap_000295,2026-09-11T15:04:35.399,horizontal,,,0,11,0.9100,YOLO-omega,
cap_000296,2026-09-11T15:04:35.492,horizontal,,,0,10,0.9240,YOLO-omega,
cap_000297,2026-09-11T15:04:35.625,horizontal,,,0,10,0.9136,YOLO-omega,
cap_000298,2026-09-11T15:04:35.721,horizontal,,,0,8,0.9225,YOLO-omega,
cap_000299,2026-09-11T15:04:35.859,horizontal,,,0,8,0.9226,YOLO-omega,
cap_000300,2026-09-11T15:04:35.985,horizontal,,,0,8,0.9249,YOLO-omega,
