frame,timestamp,n_tracks,n_confirmed,n_blobs,yolo_ran,trigger,infer_ms,loop_ms,ambient_c,note
199,2026-09-11T15:01:52.207,7,5,0,1,every frame,48.1,62.5,24.60,
200,2026-09-11T15:01:52.284,7,5,0,1,every frame,47.6,43.7,24.60,
201,2026-09-11T15:01:52.408,6,5,0,1,every frame,46.9,40.5,24.65,
202,2026-09-11T15:01:52.505,7,5,0,1,every frame,46.3,41.1,24.69,
203,2026-09-11T15:01:52.636,7,3,0,1,every frame,46.1,44.4,24.74,
204,2026-09-11T15:01:52.727,6,4,0,1,every frame,45.4,39.2,24.72,
205,2026-09-11T15:01:52.863,7,5,0,1,every frame,45.2,44.1,24.72,
206,2026-09-11T15:01:52.983,7,5,0,1,every frame,44.6,39.4,24.69,
207,2026-09-11T15:01:53.080,7,5,0,1,every frame,44.1,39.8,24.69,
208,2026-09-11T15:01:53.208,7,4,0,1,every frame,43.7,40.2,24.69,
209,2026-09-11T15:01:53.303,7,3,0,1,every frame,43.3,39.6,24.69,
210,2026-09-11T15:01:53.431,7,5,0,1,every frame,42.8,39.3,24.69,
211,2026-09-11T15:01:53.530,7,5,0,1,every frame,42.7,42.0,24.67,
212,2026-09-11T15:01:53.656,7,4,0,1,every frame,42.5,40.5,24.67,
213,2026-09-11T15:01:53.753,7,4,0,1,every frame,42.3,41.0,24.67,
214,2026-09-11T15:01:53.878,6,4,0,1,every frame,41.9,38.4,24.67,
215,2026-09-11T15:01:54.008,6,5,0,1,every frame,41.6,38.8,24.65,
216,2026-09-11T15:01:54.104,5,4,0,1,every frame,41.5,40.6,24.65,
217,2026-09-11T15:01:54.233,5,3,0,1,every frame,41.4,41.1,24.65,
218,2026-09-11T15:01:54.328,5,4,0,1,every frame,41.3,40.2,24.65,
219,2026-09-11T15:01:54.455,5,3,0,1,every frame,41.0,38.7,24.65,
220,2026-09-11T15:01:54.551,5,3,0,1,every frame,40.8,39.2,24.65,
221,2026-09-11T15:01:54.679,5,3,0,1,every frame,40.6,39.2,24.67,
222,2026-09-11T15:01:54.776,6,3,0,1,every frame,40.5,39.5,24.69,
223,2026-09-11T15:01:54.904,6,4,0,1,every frame,40.5,40.4,24.69,
224,2026-09-11T15:01:55.031,5,3,0,1,every frame,40.3,38.9,24.69,
225,2026-09-11T15:01:55.128,5,5,0,1,every frame,40.2,39.9,24.67,
226,2026-09-11T15:01:55.256,5,4,0,1,every frame,40.2,40.0,24.65,
227,2026-09-11T15:01:55.350,5,4,0,1,every frame,40.0,38.6,24.65,
228,2026-09-11T15:01:55.479,5,4,0,1,every frame,39.9,39.3,24.62,
229,2026-09-11T15:01:55.575,6,4,0,1,every frame,39.8,38.8,24.62,
230,2026-09-11T15:01:55.703,6,4,0,1,every frame,39.7,38.7,24.62,
231,2026-09-11T15:01:55.833,6,5,0,1,every frame,39.8,41.3,24.62,
232,2026-09-11T15:01:55.926,6,5,0,1,every frame,39.6,38.6,24.62,
233,2026-09-11T15:01:56.055,6,5,0,1,every frame,39.6,39.7,24.60,
234,2026-09-11T15:01:56.152,5,5,0,1,every frame,39.6,39.8,24.58,
235,2026-09-11T15:01:56.279,5,5,0,1,every frame,39.6,39.3,24.58,
236,2026-09-11T15:01:56.375,5,5,0,1,every frame,39.6,39.6,24.58,
