frame,timestamp,n_person,n_omega,conf_mean,conf_min,ambient_c,thresh,note
570,2026-08-27T12:49:23.328,0,0,,,24.16,0.374,
571,2026-08-27T12:49:23.456,1,1,0.445,0.415,24.16,0.374,
572,2026-08-27T12:49:23.552,0,0,,,24.16,0.374,
573,2026-08-27T12:49:23.680,0,0,,,24.14,0.374,
574,2026-08-27T12:49:23.774,0,0,,,24.14,0.374,
575,2026-08-27T12:49:23.904,0,0,,,24.14,0.374,
576,2026-08-27T12:49:23.999,0,0,,,24.14,0.374,
577,2026-08-27T12:49:24.127,0,0,,,24.14,0.374,
578,2026-08-27T12:49:24.223,0,0,,,24.14,0.374,
579,2026-08-27T12:49:24.359,0,0,,,24.11,0.374,
580,2026-08-27T12:49:24.482,0,0,,,24.11,0.374,
581,2026-08-27T12:49:24.576,0,0,,,24.11,0.374,
582,2026-08-27T12:49:24.705,0,0,,,24.11,0.374,
583,2026-08-27T12:49:24.798,0,0,,,24.14,0.374,
584,2026-08-27T12:49:24.927,0,0,,,24.14,0.374,
585,2026-08-27T12:49:25.023,0,0,,,24.16,0.374,
586,2026-08-27T12:49:25.152,0,0,,,24.16,0.374,
587,2026-08-27T12:49:25.247,0,0,,,24.16,0.374,
588,2026-08-27T12:49:25.376,0,0,,,24.16,0.374,
589,2026-08-27T12:49:25.505,0,0,,,24.16,0.374,
590,2026-08-27T12:49:25.599,0,0,,,24.18,0.374,
591,2026-08-27T12:49:25.728,0,0,,,24.23,0.374,
592,2026-08-27T12:49:25.822,0,0,,,24.23,0.374,
593,2026-08-27T12:49:25.949,0,0,,,24.23,0.374,
594,2026-08-27T12:49:26.047,0,0,,,24.23,0.374,
595,2026-08-27T12:49:26.174,0,0,,,24.23,0.374,
596,2026-08-27T12:49:26.302,0,0,,,24.25,0.374,
597,2026-08-27T12:49:26.398,0,0,,,24.25,0.374,
598,2026-08-27T12:49:26.526,0,0,,,24.28,0.374,
599,2026-08-27T12:49:26.621,0,0,,,24.30,0.374,
600,2026-08-27T12:49:26.752,0,0,,,24.30,0.374,
601,2026-08-27T12:49:26.846,0,0,,,24.28,0.374,
602,2026-08-27T12:49:26.975,0,0,,,24.28,0.374,
603,2026-08-27T12:49:27.070,0,0,,,24.28,0.374,
604,2026-08-27T12:49:27.200,0,0,,,24.25,0.374,
