file,timestamp,view,background,threshold,n_det,omega_count,omega_score,flags,note
cap_000049,2026-08-19T19:45:10.431,any,23.01,25.51,1,1,0.22117742658039316,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000050,2026-08-19T19:45:10.560,any,22.94,25.44,1,1,0.43567758737550843,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000051,2026-08-19T19:45:10.654,any,22.94,25.44,1,1,0.26280658806290813,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000052,2026-08-19T19:45:10.779,any,22.91,25.41,1,1,0.03119859198672379,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000053,2026-08-19T19:45:10.879,any,22.89,25.39,1,1,0.14756075209267414,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000054,2026-08-19T19:45:11.006,any,22.91,25.41,1,1,0.05232021549563441,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000055,2026-08-19T19:45:11.101,any,22.96,25.46,1,1,0.005549746262849344,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000056,2026-08-19T19:45:11.230,any,22.96,25.46,1,0,0.0,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000057,2026-08-19T19:45:11.354,any,22.94,25.44,1,1,0.33193965750341975,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000058,2026-08-19T19:45:11.450,any,22.96,25.46,1,1,0.21729565274764517,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
